index,niter,value,w1,w2,w3
40,170.14928457237343,0.4636412607116596,0.9,0.7,0.4
41,155.5459758362461,0.46014291213025527,0.9,0.7,0.4
42,171.23963694249122,0.4506180460113722,1.2,0.7,0.4
43,181.24515422694103,0.46742326592930217,0.9,0.3,0.4
44,161.11070691191466,0.4484566949682248,1.2,0.7,0.4
45,168.53400908953077,0.3762799862478325,0.9,0.3,0.1
46,165.96282319439385,0.4764467570482017,1.2,0.3,0.4
47,187.64490550023052,0.46380899363651784,1.2,0.7,0.1
48,145.28409839738657,0.46575935323040085,0.9,0.3,0.4
49,141.02950210317167,0.4579392345472167,0.9,0.7,0.4
50,176.5181343673898,0.4677020936954472,0.9,0.3,0.4
51,187.79868565811486,0.37274865497052434,0.9,0.3,0.1
52,184.95738228970768,0.45269138763690786,1.2,0.7,0.4
53,150.81292667493423,0.45937292529626034,1.2,0.7,0.1
54,144.83374679804578,0.4589344231728558,1.2,0.7,0.1
55,186.45600313817243,0.4530063348626965,1.2,0.7,0.4
56,140.47049165361528,0.4323001836105276,1.2,0.3,0.1
57,189.69094865245822,0.43056870226109867,1.2,0.3,0.1
58,183.58890506774426,0.46668654453585023,0.9,0.3,0.4
59,187.90624217403396,0.4531339794985692,1.2,0.7,0.4
60,183.77602815476257,0.45248994880910803,0.9,0.7,0.1
61,178.26750883240078,0.43166565940772733,1.2,0.3,0.1
62,163.8474710985288,0.4677499887443112,0.9,0.3,0.4
63,150.78057982565224,0.45934127286081056,0.9,0.7,0.4
64,158.357801909587,0.37796159657918105,0.9,0.3,0.1
65,151.75562481250626,0.44604283754243934,1.2,0.7,0.4
66,160.8798779669974,0.467535126226614,0.9,0.3,0.4
67,156.2551854065377,0.44744673574438754,1.2,0.7,0.4
68,175.85597143525686,0.4630468934460543,1.2,0.7,0.1
69,162.84242611013875,0.4613849294826857,0.9,0.7,0.4
70,154.5220722711818,0.3786524512728347,0.9,0.3,0.1
71,166.55492458349755,0.4621978363651101,1.2,0.7,0.1
72,145.93477316160462,0.4323720540741623,1.2,0.3,0.1
73,165.85796178890035,0.46215412245099524,0.9,0.7,0.4
74,170.70960442393869,0.46785766575205345,0.9,0.3,0.4
75,180.02987692617228,0.431621798801658,1.2,0.3,0.1
76,166.68494670868415,0.4497404212717704,1.2,0.7,0.4
77,178.52464553682032,0.46408290155603665,0.9,0.7,0.4
78,144.03202978410476,0.38022557477708074,0.9,0.3,0.1
79,142.38563053411298,0.4437262490837779,1.2,0.7,0.4
80,149.69540470481633,0.37957298179180265,0.9,0.3,0.1
81,140.0,0.4530841853996437,0.9,0.7,0.1
82,165.23349134044608,0.37682236238873007,0.9,0.3,0.1
83,163.33111765568503,0.4759832324942064,1.2,0.3,0.4
84,183.41572439158597,0.45273197484311156,1.2,0.7,0.4
85,142.2507958480257,0.464876908093559,0.9,0.3,0.4
86,169.39971471765503,0.46218380282373595,1.2,0.7,0.1
87,147.65439997804242,0.47063957549570223,1.2,0.3,0.4
88,145.21763959503937,0.4710384716076781,1.2,0.3,0.4
89,172.11945892794844,0.43218101064864156,1.2,0.3,0.1
90,144.36235889519665,0.44438638225170135,1.2,0.7,0.4
91,143.07394900131175,0.4704361825888606,1.2,0.3,0.4
92,155.04497500243886,0.46024436576392397,1.2,0.7,0.1
93,147.3023886629138,0.45871505672344026,0.9,0.7,0.4
94,179.30273575373695,0.4519679679801109,1.2,0.7,0.4
95,185.5320572708615,0.4647230607946226,0.9,0.7,0.4
96,174.77338922521292,0.4514089215099694,1.2,0.7,0.4
97,172.38317314246837,0.4536016749223012,0.9,0.7,0.1
98,147.99527675649728,0.44473540352685575,1.2,0.7,0.4
99,184.34102376441314,0.46467154146327094,0.9,0.7,0.4
