c1,c2,index,niter,value,w1,w2,w3,w4
0.5,2.4233824721184223,39,170.94964056076685,0.4285994595731556,0.9,0.7,0.4,0.0
1.5,2.4798864712294084,40,188.45947121385723,0.4389455127763841,1.2,0.7,0.4,0.0
1.5,5.0,41,157.4795033449247,0.45771721547517286,0.9,0.7,0.4,0.0
1.5,2.276342270846407,42,179.20965780839197,0.439361037156882,1.2,0.7,0.4,0.0
1.5,1.9887595828660287,43,184.9018418561066,0.28533039046252495,1.2,0.7,0.1,0.1
1.5,0.1,44,177.693619137683,0.451938867860477,0.9,0.3,0.4,0.0
1.5,0.1,45,187.28881919464607,0.46264720147387106,1.2,0.3,0.4,0.0
1.5,2.5481020243376418,46,190.0,0.4522132675879208,0.9,0.3,0.4,0.0
0.5,5.0,47,184.1294940662251,0.4413762190318101,0.9,0.3,0.4,0.0
0.5,2.5110336215452898,48,163.19562900793318,0.4238105494294797,0.9,0.7,0.4,0.0
1.5,4.1965451992930625,49,181.07400229445327,0.45392212657633585,0.9,0.3,0.4,0.0
1.5,2.338909073532251,50,140.0,0.4535358116833531,1.2,0.7,0.1,0.0
0.5,2.3103167459556304,51,177.14671383182667,0.4397593938254628,0.9,0.3,0.4,0.0
1.5,2.032434268894489,52,160.3631771433871,0.4573104188746543,0.9,0.7,0.4,0.0
1.5,0.1,53,183.77057284601005,0.46343291699307854,1.2,0.3,0.4,0.0
0.5,5.0,54,169.75796702936873,0.2604263484820887,0.9,0.7,0.4,0.1
1.5,3.0750688413215483,55,172.8797609367276,0.46289222915047973,1.2,0.3,0.4,0.0
0.5,0.1,56,169.68079682281652,0.43735796403183624,1.2,0.3,0.4,0.0
1.5,5.0,57,172.5320509168305,0.4522799855432105,0.9,0.3,0.4,0.0
0.5,5.0,58,163.81501984148582,0.4336119744334104,1.2,0.3,0.4,0.0
0.5,2.3454115697879874,59,157.40702698225988,0.42634774725218083,0.9,0.7,0.1,0.0
1.5,5.0,60,150.11695563900352,0.44884871009276056,0.9,0.7,0.1,0.0
1.5,2.0342714851172166,61,148.52297258771137,0.3739716411138083,0.9,0.3,0.1,0.0
1.5,5.0,62,147.17979048182764,0.45792863525394845,0.9,0.7,0.4,0.0
1.5,1.6961679830885077,63,140.0,0.46413227282425634,0.9,0.3,0.4,0.0
1.5,3.147283385572177,64,156.06124396395003,0.43907654748097286,1.2,0.7,0.4,0.0
1.5,2.270883739633012,65,187.08374267576485,0.4553598798767917,0.9,0.3,0.4,0.0
0.5,3.536109846761487,66,182.1009677104892,0.4493690313605374,1.2,0.3,0.4,0.0
0.5,0.1,67,184.99210885988984,0.4415544200964727,0.9,0.3,0.4,0.0
0.5,0.1,68,164.3139082843351,0.41121211221315845,1.2,0.7,0.4,0.0
1.5,5.0,69,166.01567240255702,0.46235588408099393,1.2,0.3,0.4,0.0
0.5,4.034557450555931,70,187.6786822475412,0.4477323779236387,1.2,0.3,0.4,0.0
0.5,1.308162374667167,71,173.44340199724763,0.44212951683393836,1.2,0.3,0.4,0.0
0.5,5.0,72,176.75598458377962,0.44164620209674055,1.2,0.3,0.4,0.0
1.5,0.650316807525143,73,145.35123376357436,0.45739862468992787,0.9,0.7,0.4,0.0
0.5,1.5187272426718412,74,144.3450891238376,0.4165627860012216,0.9,0.7,0.1,0.0
1.5,5.0,75,140.0,0.42109569974166133,1.2,0.3,0.1,0.0
1.5,2.655658906143297,76,152.19098716621292,0.29347220104591015,0.9,0.7,0.1,0.1
0.5,5.0,77,155.87871949465136,0.4267112268532373,0.9,0.3,0.4,0.0
0.5,0.1,78,155.69935777777653,0.41978160823196725,0.9,0.7,0.4,0.0
0.5,5.0,79,148.59198983867205,0.41314026478954513,0.9,0.7,0.4,0.0
1.5,5.0,80,161.3947049644761,0.4556900802232168,0.9,0.3,0.4,0.0
1.5,0.918902909961351,81,141.67356660312325,0.42209343698624746,1.2,0.3,0.1,0.0
1.5,0.1,82,154.56545922291673,0.45689381723331574,0.9,0.7,0.4,0.0
1.5,3.073466992682787,83,170.16498716377765,0.46303673495237985,1.2,0.3,0.4,0.0
0.5,2.2988368683959264,84,160.10624609748774,0.43120393643073945,0.9,0.3,0.4,0.0
1.5,1.610353299747136,85,176.15619092142285,0.46318366591090554,1.2,0.3,0.4,0.0
1.5,4.1764360229510595,86,148.68978978011398,0.28335249147111324,0.9,0.7,0.4,0.1
0.5,5.0,87,145.30037093613018,0.4032214250057853,1.2,0.3,0.1,0.0
1.5,0.1,88,150.21017466366024,0.4568909039381217,0.9,0.7,0.4,0.0
1.5,0.1,89,155.973282842196,0.419557574841406,1.2,0.3,0.1,0.0
1.5,5.0,90,151.7296098608984,0.4406905754293326,1.2,0.7,0.4,0.0
1.5,5.0,91,190.0,0.4596741379989038,1.2,0.3,0.4,0.0
1.5,0.1,92,169.1540326153749,0.45612596559355667,0.9,0.7,0.4,0.0
1.5,0.1,93,166.0731736635063,0.4535950626077975,0.9,0.3,0.4,0.0
0.5,5.0,94,146.90969442268013,0.41675933012401345,1.2,0.7,0.1,0.0
1.5,5.0,95,144.59912752042945,0.4502636587644512,0.9,0.7,0.1,0.0
1.5,5.0,96,146.03347665414697,0.37604657630262267,0.9,0.3,0.1,0.0
1.5,5.0,97,142.0647425101038,0.4402935143273915,1.2,0.7,0.4,0.0
1.5,5.0,98,155.46631482977818,0.456339578175785,0.9,0.3,0.4,0.0
0.5,1.1140079107849714,99,149.22805933199118,0.4124648543411665,0.9,0.7,0.4,0.0
