c1,c2,index,niter,value,w1,w2,w3
0.5,3.2296051289102903,88,180.386765764691,0.4238621063763976,1.2,0.7,0.4
1.5,5.0,89,182.32086719106968,0.4401769507468877,1.2,0.7,0.4
0.5,0.1,90,179.85111977759547,0.4335208201245864,0.9,0.7,0.4
1.5,0.1,91,147.326401912426,0.4570561317203834,0.9,0.3,0.4
0.5000000000000006,1.4284776561525523,92,166.25755484093347,0.43862182082331824,1.2,0.3,0.4
1.5,0.6521799877287222,93,165.60265390824503,0.4544349359531206,0.9,0.3,0.4
0.5,0.9604453674207177,94,170.5874570984311,0.4356541330144221,0.9,0.3,0.4
1.5,0.1,95,155.58282296476784,0.45571424395319693,0.9,0.3,0.4
1.5,2.9957122067923843,96,190.0,0.4118932610732252,1.2,0.3,0.1
0.5,5.0,97,140.84569600912667,0.4140047375942363,1.2,0.3,0.4
0.5,0.1,98,184.0147967499919,0.4415544200964727,0.9,0.3,0.4
1.5,3.088103516375537,99,186.47435628863585,0.4547556970477393,0.9,0.7,0.4
